"number"	"filename"	"ID"	"season"	"year"	"cave"	"label"	"nonatec"	"tag"	"date"	"codedate"
"5378"	"6"	"IMG_9531.JPG"	"981945"	"august"	"2016"	"C1"	"CAL16-2926"	"8482048"	"981945"	"2016-2-august"	10
"5871"	"1"	"IMG_1985.JPG"	"981945"	"june"	"2017"	"C1"	"CAL16-2926"	"8482048"	"981945"	"2017-1-june"	11
"6306"	"11"	"IMG_3198.JPG"	"981945"	"august"	"2017"	"C1"	"CAL16-2926"	"8482048"	"981945"	"2017-2-august"	12
"5872"	"2"	"IMG_1988.JPG"	"897888"	"june"	"2017"	"C1"	"CAL17-3080"	"1060864"	"897888"	"2017-1-june"	11
"6297"	"2"	"IMG_2859.JPG"	"897888"	"august"	"2017"	"C1"	"CAL17-3080"	"1060864"	"897888"	"2017-2-august"	12
"4373"	"36"	"IMG_7513.JPG"	"158529"	"august"	"2015"	"C10"	"CAL15-2712"	"2494208"	"158529"	"2015-2-august"	8
"5479"	"6"	"IMG_9618.JPG"	"158529"	"august"	"2016"	"C10"	"CAL15-2712"	"2494208"	"158529"	"2016-2-august"	10
"5967"	"4"	"IMG_1966.JPG"	"158529"	"june"	"2017"	"C10"	"CAL15-2712"	"2494208"	"158529"	"2017-1-june"	11
"5485"	"12"	"IMG_9626.JPG"	"897784"	"august"	"2016"	"C10"	"CAL16-2945"	"2465920"	"897784"	"2016-2-august"	10
"5980"	"17"	"IMG_2398.JPG"	"897784"	"june"	"2017"	"C10"	"CAL16-2945"	"2465920"	"897784"	"2017-1-june"	11
"6412"	"18"	"IMG_3189.JPG"	"897784"	"august"	"2017"	"C10"	"CAL16-2945"	"2465920"	"897784"	"2017-2-august"	12
"5966"	"3"	"IMG_1965.JPG"	"897855"	"june"	"2017"	"C10"	"CAL17-3073"	"9555968"	"897855"	"2017-1-june"	11
"6397"	"3"	"IMG_2844.JPG"	"897855"	"august"	"2017"	"C10"	"CAL17-3073"	"9555968"	"897855"	"2017-2-august"	12
"5491"	"3"	"IMG_9597.JPG"	"897775"	"august"	"2016"	"C11"	"CAL16-2940"	"2680704"	"897775"	"2016-2-august"	10
"5996"	"14"	"IMG_2389.JPG"	"897775"	"june"	"2017"	"C11"	"CAL16-2940"	"2680704"	"897775"	"2017-1-june"	11
"6419"	"3"	"IMG_2827.JPG"	"897775"	"august"	"2017"	"C11"	"CAL16-2940"	"2680704"	"897775"	"2017-2-august"	12
"5492"	"4"	"IMG_9598.JPG"	"897914"	"august"	"2016"	"C11"	"CAL16-2941"	"1821568"	"897914"	"2016-2-august"	10
"5994"	"12"	"IMG_2385.JPG"	"897914"	"june"	"2017"	"C11"	"CAL16-2941"	"1821568"	"897914"	"2017-1-june"	11
"6430"	"14"	"IMG_2838.JPG"	"897914"	"august"	"2017"	"C11"	"CAL16-2941"	"1821568"	"897914"	"2017-2-august"	12
"5493"	"5"	"IMG_9599.JPG"	"897866"	"august"	"2016"	"C11"	"CAL16-2942"	"0726272"	"897866"	"2016-2-august"	10
"5902"	"4"	"IMG_1934.JPG"	"897866"	"june"	"2017"	"C5"	"CAL16-2942"	"0726272"	"897866"	"2017-1-june"	11
"6433"	"17"	"IMG_3184.JPG"	"897866"	"august"	"2017"	"C11"	"CAL16-2942"	NA	"897866"	"2017-2-august"	12
