"cave"	"n.fish"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"1"	"C1"	100	69	69	10	10	14	14	5	5	1	1	0	0	1	1	0	0	0	0	0	0
"2"	"C10"	120	68	56.67	19	15.83	9	7.5	13	10.83	5	4.17	0	0	4	3.33	2	1.67	0	0	0	0
"3"	"C11"	161	104	64.6	26	16.15	14	8.7	12	7.45	1	0.62	2	1.24	2	1.24	0	0	0	0	0	0
"4"	"C12"	97	57	58.76	12	12.37	6	6.19	7	7.22	5	5.15	5	5.15	2	2.06	2	2.06	0	0	1	1.03
"5"	"C17"	45	27	60	8	17.78	4	8.89	2	4.44	1	2.22	2	4.44	1	2.22	0	0	0	0	0	0
"6"	"C17b"	63	32	50.79	12	19.05	9	14.29	5	7.94	5	7.94	0	0	0	0	0	0	0	0	0	0
"7"	"C18"	182	119	65.38	24	13.19	12	6.59	9	4.95	11	6.04	3	1.65	3	1.65	0	0	1	0.55	0	0
"8"	"C19"	100	68	68	15	15	6	6	6	6	4	4	1	1	0	0	0	0	0	0	0	0
"9"	"C2"	121	75	61.98	16	13.22	13	10.74	7	5.79	4	3.31	2	1.65	2	1.65	2	1.65	0	0	0	0
"10"	"C20"	154	97	62.99	26	16.88	18	11.69	9	5.84	2	1.3	1	0.65	1	0.65	0	0	0	0	0	0
"11"	"C21"	133	85	63.91	21	15.79	10	7.52	11	8.27	2	1.5	1	0.75	1	0.75	2	1.5	0	0	0	0
"12"	"C22"	239	188	78.66	37	15.48	11	4.6	2	0.84	1	0.42	0	0	0	0	0	0	0	0	0	0
"13"	"C23"	133	78	58.65	19	14.29	14	10.53	6	4.51	6	4.51	5	3.76	3	2.26	1	0.75	1	0.75	0	0
"14"	"C24"	97	65	67.01	17	17.53	8	8.25	6	6.19	0	0	0	0	1	1.03	0	0	0	0	0	0
"15"	"C25"	850	530	62.35	120	14.12	77	9.06	60	7.06	27	3.18	20	2.35	10	1.18	5	0.59	1	0.12	0	0
"16"	"C26"	224	120	53.57	31	13.84	26	11.61	18	8.04	12	5.36	7	3.12	5	2.23	3	1.34	1	0.45	1	0.45
"17"	"C27"	152	98	64.47	20	13.16	13	8.55	16	10.53	3	1.97	2	1.32	0	0	0	0	0	0	0	0
"18"	"C5"	191	113	59.16	34	17.8	20	10.47	10	5.24	7	3.66	5	2.62	1	0.52	0	0	1	0.52	0	0
"19"	"C6"	30	18	60	2	6.67	3	10	2	6.67	1	3.33	0	0	0	0	2	6.67	1	3.33	1	3.33
"20"	"C7"	285	188	65.96	44	15.44	27	9.47	13	4.56	5	1.75	4	1.4	3	1.05	0	0	1	0.35	0	0
