number	filename	ID	season	year	cave	label	nonatec	tag
1	'CAL12-0001.jpg'	CAL12-0001	june	2012	C1	CAL12-0001	NA	NA
2	'CAL12-0002.jpg'	CAL12-0002	june	2012	C1	CAL12-0002	NA	NA
3	'CAL12-0003.jpg'	CAL12-0003	june	2012	C1	CAL12-0003	NA	NA
4	'CAL12-0026.jpg'	CAL12-0026	june	2012	C1	CAL12-0026	NA	NA
5	'CAL12-0027.jpg'	CAL12-0027	june	2012	C1	CAL12-0027	NA	NA
6	'CAL12-0028.jpg'	CAL12-0028	june	2012	C1	CAL12-0028	NA	NA
7	'CAL12-0029.jpg'	CAL12-0029	june	2012	C1	CAL12-0029	NA	NA
8	'CAL12-0030.jpg'	CAL12-0030	june	2012	C1	CAL12-0030	NA	NA
9	'CAL12-0031.jpg'	CAL12-0031	june	2012	C1	CAL12-0031	NA	NA
10	'CAL12-0032.jpg'	CAL12-0032	june	2012	C1	CAL12-0032	NA	NA
11	'CAL12-0506.jpg'	CAL12-0506	june	2012	C1	CAL12-0506	NA	NA
12	'CAL12-0507.jpg'	CAL12-0507	june	2012	C1	CAL12-0507	NA	NA
13	'CAL12-0508.jpg'	CAL12-0508	june	2012	C1	CAL12-0508	NA	NA
14	'CAL12-0510.jpg'	CAL12-0510	june	2012	C1	CAL12-0510	NA	NA
15	'CAL12-0511.jpg'	CAL12-0511	june	2012	C1	CAL12-0511	NA	NA
16	'CAL12-0512.jpg'	CAL12-0512	june	2012	C1	CAL12-0512	NA	NA
17	'IMG_0289.JPG'	CAL12-0043	june	2012	C1	CAL12-0043	NA	NA
18	'IMG_0413.JPG'	CAL12-0128	june	2012	C1	CAL12-0128	NA	NA
19	'IMG_0859.JPG'	CAL12-0509	june	2012	C1	CAL12-0509	NA	NA
1	'IMG_0224.JPG'	CAL12-0006	june	2012	C2	CAL12-0006	NA	NA
2	'IMG_0225.JPG'	CAL12-0007	june	2012	C2	CAL12-0007	NA	NA
3	'IMG_0227.JPG'	CAL12-0008	june	2012	C2	CAL12-0008	NA	NA
4	'IMG_0231.JPG'	CAL12-0010	june	2012	C2	CAL12-0010	NA	NA
5	'IMG_0233.JPG'	CAL12-0011	june	2012	C2	CAL12-0011	NA	NA
6	'IMG_0234.JPG'	CAL12-0012	june	2012	C2	CAL12-0012	NA	NA
7	'IMG_0236.JPG'	CAL12-0013	june	2012	C2	CAL12-0013	NA	NA
8	'IMG_0238.JPG'	CAL12-0014	june	2012	C2	CAL12-0014	NA	NA
9	'IMG_0240.JPG'	CAL12-0015	june	2012	C2	CAL12-0015	NA	NA
10	'IMG_0241.JPG'	CAL12-0016	june	2012	C2	CAL12-0016	NA	NA
11	'IMG_0243.JPG'	CAL12-0017	june	2012	C2	CAL12-0017	NA	NA
12	'IMG_0244.JPG'	CAL12-0018	june	2012	C2	CAL12-0018	NA	NA
13	'IMG_0246.JPG'	CAL12-0019	june	2012	C2	CAL12-0019	NA	NA
14	'IMG_0248.JPG'	CAL12-0020	june	2012	C2	CAL12-0020	NA	NA
15	'IMG_0250.JPG'	CAL12-0021	june	2012	C2	CAL12-0021	NA	NA
16	'IMG_0252.JPG'	CAL12-0022	june	2012	C2	CAL12-0022	NA	NA
17	'IMG_0254.JPG'	CAL12-0023	june	2012	C2	CAL12-0023	NA	NA
18	'IMG_0256.JPG'	CAL12-0024	june	2012	C2	CAL12-0024	NA	NA
19	'IMG_0257.JPG'	CAL12-0025	june	2012	C2	CAL12-0025	NA	NA
1	'IMG_0333.JPG'	CAL12-0075	june	2012	C5	CAL12-0075	NA	NA
2	'IMG_0334.JPG'	CAL12-0076	june	2012	C5	CAL12-0076	NA	NA
3	'IMG_0336.JPG'	CAL12-0077	june	2012	C5	CAL12-0077	NA	NA
4	'IMG_0338.JPG'	CAL12-0078	june	2012	C5	CAL12-0078	NA	NA
5	'IMG_0342.JPG'	CAL12-0079	june	2012	C5	CAL12-0079	NA	NA
6	'IMG_0343.JPG'	CAL12-0081	june	2012	C5	CAL12-0081	NA	NA
7	'IMG_0345.JPG'	CAL12-0082	june	2012	C5	CAL12-0082	NA	NA
8	'IMG_0346.JPG'	CAL12-0083	june	2012	C5	CAL12-0083	NA	NA
9	'IMG_0348.JPG'	CAL12-0084	june	2012	C5	CAL12-0084	NA	NA
10	'IMG_0350.JPG'	CAL12-0085	june	2012	C5	CAL12-0085	NA	NA
11	'IMG_0351.JPG'	CAL12-0086	june	2012	C5	CAL12-0086	NA	NA
12	'IMG_0354.JPG'	CAL12-0087	june	2012	C5	CAL12-0087	NA	NA
13	'IMG_0355.JPG'	CAL12-0088	june	2012	C5	CAL12-0088	NA	NA
14	'IMG_0356.JPG'	CAL12-0089	june	2012	C5	CAL12-0089	NA	NA
15	'IMG_0357.JPG'	CAL12-0090	june	2012	C5	CAL12-0090	NA	NA
16	'IMG_0358.JPG'	CAL12-0091	june	2012	C5	CAL12-0091	NA	NA
17	'IMG_0359.JPG'	CAL12-0092	june	2012	C5	CAL12-0092	NA	NA
18	'IMG_0360.JPG'	CAL12-0093	june	2012	C5	CAL12-0093	NA	NA
19	'IMG_0362.JPG'	CAL12-0094	june	2012	C5	CAL12-0094	NA	NA
20	'IMG_0364.JPG'	CAL12-0095	june	2012	C5	CAL12-0095	NA	NA
21	'IMG_0414.JPG'	CAL12-0129	june	2012	C5	CAL12-0129	NA	NA
22	'IMG_0415.JPG'	CAL12-0130	june	2012	C5	CAL12-0130	NA	NA
23	'IMG_0416.JPG'	CAL12-0131	june	2012	C5	CAL12-0131	NA	NA
24	'IMG_0418.JPG'	CAL12-0132	june	2012	C5	CAL12-0132	NA	NA
25	'IMG_0419.JPG'	CAL12-0133	june	2012	C5	CAL12-0133	NA	NA
26	'IMG_0420.JPG'	CAL12-0134	june	2012	C5	CAL12-0134	NA	NA
27	'IMG_0422.JPG'	CAL12-0135	june	2012	C5	CAL12-0135	NA	NA
28	'IMG_0424.JPG'	CAL12-0136	june	2012	C5	CAL12-0136	NA	NA
1	'IMG_0317.JPG'	CAL12-0061	june	2012	C6	CAL12-0061	NA	NA
2	'IMG_0318.JPG'	CAL12-0062	june	2012	C6	CAL12-0062	NA	NA
3	'IMG_0319.JPG'	CAL12-0063	june	2012	C6	CAL12-0063	NA	NA
4	'IMG_0320.JPG'	CAL12-0064	june	2012	C6	CAL12-0064	NA	NA
5	'IMG_0321.JPG'	CAL12-0065	june	2012	C6	CAL12-0065	NA	NA
6	'IMG_0322.JPG'	CAL12-0066	june	2012	C6	CAL12-0066	NA	NA
7	'IMG_0323.JPG'	CAL12-0067	june	2012	C6	CAL12-0067	NA	NA
8	'IMG_0325.JPG'	CAL12-0068	june	2012	C6	CAL12-0068	NA	NA
9	'IMG_0327.JPG'	CAL12-0069	june	2012	C6	CAL12-0069	NA	NA
10	'IMG_0328.JPG'	CAL12-0070	june	2012	C6	CAL12-0070	NA	NA
11	'IMG_0330.JPG'	CAL12-0071	june	2012	C6	CAL12-0071	NA	NA
12	'IMG_0331.JPG'	CAL12-0072	june	2012	C6	CAL12-0072	NA	NA
1	'IMG_0365.JPG'	CAL12-0096	june	2012	C7	CAL12-0096	NA	NA
