"capt.ID" "season" "year" "visit" "cave" "length" "ID"
"1" "052877" "june" "2014" 2 "C1" 126 NA
"2" "052912" "august" "2014" 1 "C1" 114 NA
"3" "184582" "august" "2013" 2 "C1" 110 NA
"4" "158505" "august" "2016" 1 "C1" 93 NA
"5" "158505" "august" "2017" 1 "C1" 116 NA
"6" "158535" "august" "2016" 1 "C1" 83 NA
"7" "158551" "june" "2017" 1 "C1" 136 NA
"8" "158561" "august" "2016" 1 "C1" 85.5 NA
"9" "158575" "august" "2016" 1 "C1" 75.5 NA
"10" "1849B9" "august" "2013" 2 "C1" 93 NA
"11" "158575" "august" "2017" 1 "C1" 96 NA
"12" "18554F" "august" "2013" 2 "C1" 108 NA
"13" "1871BF" "august" "2013" 2 "C1" 114 NA
"14" "158576" "august" "2016" 1 "C1" 121 NA
"15" "158576" "june" "2017" 2 "C1" 124 NA
"16" "158576" "august" "2017" 1 "C1" 128 NA
"17" "158585" "june" "2017" 1 "C1" 113 NA
"18" "158593" "august" "2016" 1 "C1" 86 NA
"19" "184582" "june" "2014" 2 "C1" 112 NA
"20" "184582" "june" "2015" 1 "C1" 113.5 NA
"21" "184582" "august" "2015" 1 "C1" 114 NA
"22" "184582" "august" "2014" 1 "C1" 114 NA
"23" "184582" "june" "2015" 2 "C1" 113 NA
"24" "187565" "june" "2015" 2 "C1" 74 NA
"25" "655002" "august" "2015" 1 "C1" 75 NA
"26" "655002" "august" "2016" 2 "C1" 103 NA
"27" "655048" "august" "2015" 1 "C1" 69 NA
"28" "655048" "june" "2016" 2 "C1" 78 NA
"29" "655048" "june" "2017" 2 "C1" 96 NA
"30" "655048" "august" "2017" 1 "C1" 108 NA
"31" "655091" "august" "2015" 1 "C1" 68 NA
"32" "655091" "august" "2016" 1 "C1" 89 NA
"33" "655091" "june" "2017" 1 "C1" 106 NA
"34" "655139" "august" "2015" 1 "C1" 115 NA
"35" "655227" "august" "2015" 1 "C1" 108 NA
"36" "655227" "august" "2016" 1 "C1" 113 NA
"37" "655227" "june" "2017" 1 "C1" 115 NA
"38" "655257" "june" "2017" 1 "C1" 101 NA
"39" "655338" "august" "2016" 2 "C1" 69 NA
"40" "655338" "august" "2017" 1 "C1" 94 NA
"41" "655388" "june" "2015" 1 "C1" 134 NA
"42" "655388" "june" "2015" 2 "C1" 132 NA
"43" "655487" "june" "2015" 1 "C1" 67 NA
