capt.ID	season	year	visit	cave	length
052877	june	2014	2	C1	126
052912	august	2014	1	C1	114
184582	august	2013	2	C1	110
158505	august	2016	1	C1	93
158505	august	2017	1	C1	116
158535	august	2016	1	C1	83
182C32	august	2013	2	C1	140
158551	june	2017	1	C1	136
158561	august	2016	1	C1	88
158561	august	2016	2	C1	83
158575	august	2016	1	C1	75
158575	august	2016	2	C1	76
1849B9	august	2013	2	C1	93
158575	august	2017	1	C1	96
18554F	august	2013	2	C1	108
1871BF	august	2013	2	C1	114
158576	august	2016	1	C1	121
158576	june	2017	2	C1	124
158576	august	2017	1	C1	128
158585	june	2017	1	C1	113
158593	august	2016	1	C1	86
184582	june	2014	2	C1	112
184582	june	2015	1	C1	113
184582	august	2015	1	C1	114
184582	august	2015	2	C1	114
184582	august	2014	1	C1	114
184582	june	2015	2	C1	113
187565	june	2015	2	C1	74
655002	august	2015	1	C1	75
655002	august	2016	2	C1	103
655048	august	2015	1	C1	69
655048	june	2016	2	C1	78
655048	june	2017	2	C1	96
655048	august	2017	1	C1	108
655091	august	2015	1	C1	68
655091	august	2016	1	C1	89
655091	august	2016	2	C1	89
655091	june	2017	1	C1	106
655139	august	2015	1	C1	115
655227	august	2015	1	C1	108
655227	august	2016	1	C1	113
655227	august	2016	2	C1	113
655227	june	2017	1	C1	115
655257	june	2017	1	C1	101
655293	june	2016	2	C1	131
655338	august	2016	2	C1	69
655338	august	2017	1	C1	94
655338	august	2017	2	C1	94
655388	june	2015	1	C1	133
655388	august	2015	2	C1	135
655388	june	2015	2	C1	132
655487	june	2015	1	C1	67
655727	june	2015	2	C1	108
897888	august	2017	1	C1	71
897962	august	2017	1	C1	65
897978	august	2017	1	C1	97
981945	august	2017	2	C1	76
1060864	june	2017	1	C1	56
1060864	june	2017	2	C1	57
4018944	august	2015	1	C1	53
5488128	august	2015	1	C1	64
8482048	august	2016	1	C1	49
8482048	june	2017	1	C1	63
9284608	august	2016	1	C1	47
NA	june	2014	2	C1	108
182C32	june	2015	1	C1	145
182C32	june	2015	2	C1	147
183F4E	june	2015	1	C1	100
183F4E	june	2014	1	C1	100
183F4E	august	2015	2	C1	104
183F4E	august	2014	1	C1	102
183F4E	june	2015	2	C1	102
183F4E	june	2017	2	C1	124
183F4E	august	2017	2	C1	131
1849B9	august	2014	1	C1	96
18503B	august	2017	2	C1	138
4ED5E5	august	2012	1	C1	113
4ED5E5	august	2014	1	C1	113
4EDDDA	june	2015	1	C1	100
4EDDDA	august	2015	1	C1	104
4EDDDA	august	2016	1	C1	115
4EDDDA	august	2016	2	C1	116
4EDFAE	june	2017	1	C1	113
4EDFAE	june	2017	2	C1	114
4EDFAE	august	2017	1	C1	119
4EDFAE	august	2017	2	C1	119
4EE0FC	june	2014	1	C1	116
4EE0FC	august	2014	1	C1	112
4EE15F	june	2015	1	C1	118
4EE15F	august	2012	1	C1	116
4EE15F	august	2015	1	C1	122
4EE15F	august	2014	1	C1	118
4EE1C2	june	2015	1	C1	107
4EE1C2	june	2014	2	C1	108
4EE1C2	august	2014	1	C1	108
4EE2D1	august	2012	1	C1	107
4EE2D1	june	2014	2	C1	106
4EE2D1	august	2014	1	C1	107
4EE3FA	june	2015	1	C1	112
4EE3FA	august	2012	1	C1	110
4EE3FA	june	2014	2	C1	115
4EE3FA	august	2014	1	C1	115
4EE4EE	august	2012	1	C1	107
4EE83B	august	2012	1	C1	118
4EE902	june	2015	1	C1	136
4EE902	august	2015	1	C1	138
4EE902	june	2017	1	C1	107
4EEAB1	june	2014	2	C1	123
4EEAB1	june	2016	1	C1	126
4EF922	june	2015	1	C1	119
4EF922	june	2014	1	C1	122
4EF922	june	2015	2	C1	119
4EF992	august	2014	1	C1	122
4EFA92	june	2015	1	C1	114
6D597F	june	2014	1	C1	120
6D597F	august	2014	1	C1	120
6D8324	june	2015	1	C1	100
6D8324	june	2014	1	C1	96
6D8324	august	2014	1	C1	99
6D8324	august	2016	1	C1	NA
6D8497	june	2015	1	C1	105
6D8497	august	2012	1	C1	103
6D8497	june	2014	2	C1	107
6D8497	august	2014	1	C1	107
6D8497	august	2012	1	C1	107
6D8497	june	2015	2	C1	105
6D8497	june	2017	1	C1	114
6D8497	august	2017	2	C1	119
6DA1A7	june	2014	1	C1	68
6DA1A7	august	2014	1	C1	70
6DA1A7	august	2015	1	C1	76
6DA1A7	august	2016	2	C1	97
6DA1A7	august	2017	1	C1	114
C6597F	june	2014	2	C1	120
C96078	august	2012	1	C1	111
C96461	june	2015	1	C1	111
C964B6	august	2012	1	C1	112
C964B6	june	2014	2	C1	110
C964B6	august	2014	1	C1	110
C964B6	august	2012	1	C1	113
C9868D	june	2014	1	C1	124
C9868D	august	2014	1	C1	125
C98808	june	2015	1	C1	126
C98CCA	august	2015	1	C1	123
C98F91	june	2014	1	C1	100
C98F91	august	2015	1	C1	109
052705	june	2014	2	C10	111
052705	august	2014	1	C10	112
052714	june	2014	2	C10	110
052734	june	2014	2	C10	84
052746	june	2014	2	C10	124
052746	august	2014	1	C10	125
052748	june	2014	2	C10	84
052761	june	2014	2	C10	90
052889	august	2014	1	C10	85
052895	august	2014	1	C10	78
052895	june	2015	1	C10	83
052895	august	2015	NA	C10	88
052895	june	2016	1	C10	93
052895	june	2016	2	C10	94
052895	june	2015	2	C10	83
052918	august	2014	1	C10	113
052918	june	2016	1	C10	117
052918	august	2016	2	C10	120
052918	august	2017	2	C10	134
053188	august	2015	NA	C10	117
053188	august	2015	NA	C10	118
053188	june	2016	2	C10	119
053188	august	2016	2	C10	120
053188	june	2014	2	C10	116
053188	june	2017	1	C10	123
123837	august	2017	1	C10	62
123848	august	2017	1	C10	53
123855	august	2017	1	C10	52
123865	august	2017	1	C10	68
123881	august	2017	2	C10	52
158529	august	2016	1	C10	88
158529	august	2016	2	C10	99
158529	june	2017	1	C10	103
655016	august	2015	NA	C10	85
655016	august	2016	1	C10	110
655063	august	2015	NA	C10	91
655070	august	2015	NA	C10	71
655070	august	2016	1	C10	94
655070	june	2015	2	C10	68
655109	august	2015	NA	C10	95
655109	august	2015	NA	C10	96
655118	august	2015	NA	C10	78
655118	august	2015	NA	C10	80
655118	june	2016	1	C10	89
655118	august	2016	1	C10	98
655118	june	2015	2	C10	71
655118	august	2017	2	C10	122
655224	august	2015	NA	C10	94
655231	august	2015	NA	C10	86
655252	june	2015	1	C10	95
655252	august	2015	NA	C10	103
655252	june	2017	2	C10	140
655274	august	2016	1	C10	75
655274	june	2017	2	C10	93
655341	june	2016	1	C10	70
655341	august	2016	1	C10	80
655380	august	2015	NA	C10	91
655415	june	2016	1	C10	60
655415	june	2017	1	C10	95
655415	august	2017	1	C10	110
655416	june	2015	1	C10	127
655420	august	2015	NA	C10	115
655434	june	2015	1	C10	110
655434	august	2015	NA	C10	111
655434	june	2016	1	C10	112
655475	june	2015	1	C10	115
655475	august	2015	NA	C10	115
655475	june	2016	1	C10	117
655475	june	2016	2	C10	118
655475	august	2016	2	C10	119
655475	june	2015	2	C10	113
0838144	june	2017	1	C10	49
0838144	august	2017	1	C10	59
0838144	august	2017	2	C10	58
897776	june	2017	2	C10	69
897776	august	2017	1	C10	79
897784	june	2017	2	C10	78
897784	august	2017	2	C10	89
897838	august	2017	1	C10	135
897855	august	2017	1	C10	75
897864	june	2017	1	C10	90
897864	june	2017	2	C10	92
897864	august	2017	2	C10	103
897900	june	2017	1	C10	126
897930	august	2017	1	C10	66
897931	august	2017	1	C10	69
897977	june	2017	1	C10	74
897977	june	2017	2	C10	75
897977	august	2017	1	C10	90
897996	june	2017	1	C10	86
897996	august	2017	1	C10	98
897996	august	2017	2	C10	98
981895	august	2017	2	C10	96
1539963	june	2015	2	C10	64
2232064	august	2016	2	C10	47
2465920	august	2016	1	C10	58
2494208	august	2015	NA	C10	63
4299136	june	2017	1	C10	49
4ED5E5	august	2013	1	C1	115
4ED5E5	june	2013	1	C1	111
4299136	june	2017	2	C10	51
4299136	august	2017	1	C10	63
9555968	june	2017	1	C10	63
9555968	june	2017	2	C10	64
9620480	august	2016	1	C10	55
9620480	august	2016	2	C10	55
182C34	june	2014	1	C10	129
182C34	august	2014	1	C10	128
182C34	june	2015	2	C10	127
183CB4	august	2015	NA	C10	121
183CB4	august	2015	NA	C10	122
4EDF07	june	2014	1	C10	115
4EDF07	august	2012	1	C10	110
4EDF32	august	2015	NA	C10	119
4EDF32	june	2016	2	C10	127
4EDF32	june	2017	1	C10	139
4EDF5A	august	2014	1	C10	88
4EDF5A	june	2014	1	C10	82
4EDF5A	august	2012	1	C10	68
4EE071	june	2015	1	C10	110
4EE4C7	june	2014	1	C10	109
4EE4C7	august	2015	NA	C10	113
4EE4C7	august	2014	1	C10	110
4EE5ED	june	2015	1	C10	125
4EE5ED	august	2012	1	C10	105
4EE5ED	august	2015	NA	C10	126
4EE5ED	august	2015	NA	C10	127
4EE5ED	june	2014	2	C10	122
4EE5ED	august	2014	1	C10	126
4EE707	june	2014	1	C10	104
4EE707	august	2012	1	C10	91
4EE707	august	2015	NA	C10	105
4EE707	august	2016	2	C10	108
4EE707	august	2014	1	C10	105
4EE707	june	2017	1	C10	108
4EE8E0	june	2015	1	C10	101
4EE8E0	august	2014	1	C10	96
4EE8E0	june	2014	1	C10	92
4EE8E0	august	2015	NA	C10	105
4EE8E0	june	2016	1	C10	108
4EE8E0	june	2015	2	C10	102
4EE8E0	june	2017	1	C10	120
4EEA0C	june	2015	1	C10	108
4EEA0C	august	2015	NA	C10	110
4EEA0C	june	2015	2	C10	107
4EEC24	august	2015	NA	C10	122
4EEC24	june	2016	1	C10	124
4EEC24	june	2014	2	C10	117
4EECA3	june	2014	1	C10	117
4EECA3	august	2015	NA	C10	122
4EECA3	august	2015	NA	C10	120
4EECA3	august	2017	1	C10	137
4EECA3	august	2017	2	C10	138
4EECF2	june	2015	1	C10	104
4EECF2	august	2012	1	C10	78
4EECF2	august	2014	1	C10	101
4EECF2	june	2015	2	C10	104
4EE071	august	2014	1	C10	107
4EE071	june	2015	2	C10	109
4EFA28	june	2015	1	C10	104
4EDDE4	august	2013	1	C1	136
4EFA28	august	2012	1	C10	93
4EFA28	august	2015	NA	C10	106
4EFA28	august	2015	NA	C10	106
4EFA28	june	2016	2	C10	111
4EFA28	june	2014	2	C10	103
4EFA28	june	2017	1	C10	120
6D5E15	june	2014	1	C10	100
6D5E15	august	2015	NA	C10	103
6D5E15	august	2014	1	C10	100
6D5E15	june	2015	2	C10	101
6D60D4	june	2014	1	C10	126
6D60D4	august	2014	1	C10	138
6D96D6	august	2014	1	C10	104
6D9D96	june	2015	1	C10	108
6D9D96	june	2014	1	C10	100
6D9D96	august	2015	NA	C10	112
6D9D96	august	2015	NA	C10	111
6DA316	june	2015	1	C10	135
6DA316	august	2015	NA	C10	138
